participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	258	0.0	1	7	0.0	--	--	--
Nobody	1	259	0.0	1	8	0.0	--	--	--
Nobody	1	260	0.0	1	9	0.0	--	--	--
Nobody	1	261	0.0	1	10	0.0	--	--	--
Nobody	1	262	0.0	1	11	0.0	--	--	--
Nobody	1	263	0.0	1	12	0.0	--	--	--
Nobody	1	264	0.0	1	13	0.0	--	--	--
Nobody	1	265	0.0	1	14	0.0	--	--	--
Nobody	1	266	0.0	1	15	0.0	--	--	--
Nobody	1	267	0.0	1	16	0.0	--	--	--
Nobody	1	268	0.0	1	17	0.0	--	--	--
Nobody	1	269	0.0	1	18	0.0	--	--	--
Nobody	1	270	0.0	1	19	0.0	--	--	--
Nobody	1	271	0.0	1	20	0.0	--	--	--
Nobody	1	272	0.0	1	21	0.0	--	--	--
Nobody	1	273	0.0	1	22	0.0	--	--	--
Nobody	1	274	0.0	1	23	0.0	--	--	--
Nobody	1	275	0.0	1	24	0.0	--	--	--
Nobody	1	276	0.0	1	25	0.0	--	--	--
Nobody	1	277	0.0	1	26	0.0	--	--	--
Nobody	1	278	0.0	1	27	0.0	--	--	--
Nobody	1	279	0.0	1	28	0.0	--	--	--
Nobody	1	280	0.0	1	29	0.0	--	--	--
Nobody	1	281	0.0	1	30	0.0	--	--	--
Nobody	1	282	0.0	1	31	0.0	--	--	--
Nobody	1	283	0.0	1	32	0.0	--	--	--
Nobody	1	284	0.0	1	33	0.0	--	--	--
Nobody	1	285	0.0	1	34	0.0	--	--	--
Nobody	1	286	0.0	1	35	0.0	--	--	--
Nobody	1	287	0.0	1	36	0.0	--	--	--
Nobody	1	288	0.0	1	37	0.0	--	--	--
Nobody	1	289	0.0	1	38	0.0	--	--	--
Nobody	1	290	0.0	1	39	0.0	--	--	--
Nobody	1	291	0.0	1	40	0.0	--	--	--
Nobody	1	292	0.0	1	41	0.0	--	--	--
Nobody	1	293	0.0	1	42	0.0	--	--	--
Nobody	1	294	0.0	1	43	0.0	--	--	--
Nobody	1	295	0.0	1	44	0.0	--	--	--
Nobody	1	296	0.0	1	45	0.0	--	--	--
Nobody	1	297	0.0	1	46	0.0	--	--	--
Nobody	1	298	0.0	1	47	0.0	--	--	--
Nobody	1	299	0.0	1	48	0.0	--	--	--
Nobody	1	300	0.0	1	49	0.0	--	--	--
Nobody	1	301	25.0	1	0	0.0	--	--	--
Nobody	1	302	25.0	1	1	0.0	--	--	--
Nobody	1	303	25.0	1	2	0.0	--	--	--
Nobody	1	304	25.0	1	3	0.0	--	--	--
Nobody	1	305	25.0	1	4	0.0	--	--	--
Nobody	1	306	25.0	1	5	0.0	--	--	--
Nobody	1	307	25.0	1	6	0.0	--	--	--
Nobody	1	308	25.0	1	7	0.0	--	--	--
Nobody	1	309	25.0	1	8	0.0	--	--	--
Nobody	1	310	25.0	1	9	0.0	--	--	--
Nobody	1	311	25.0	1	10	0.0	--	--	--
Nobody	1	312	25.0	1	11	0.0	--	--	--
Nobody	1	313	25.0	1	12	0.0	--	--	--
Nobody	1	314	25.0	1	13	0.0	--	--	--
Nobody	1	315	25.0	1	14	0.0	--	--	--
Nobody	1	316	25.0	1	15	0.0	--	--	--
Nobody	1	317	25.0	1	16	0.0	--	--	--
Nobody	1	318	25.0	1	17	0.0	--	--	--
Nobody	1	319	25.0	1	18	0.0	--	--	--
Nobody	1	320	25.0	1	19	0.0	--	--	--
Nobody	1	321	25.0	1	20	0.0	--	--	--
Nobody	1	322	25.0	1	21	0.0	--	--	--
Nobody	1	323	25.0	1	22	0.0	--	--	--
Nobody	1	324	25.0	1	23	0.0	--	--	--
Nobody	1	325	25.0	1	24	0.0	--	--	--
Nobody	1	326	25.0	1	25	0.0	--	--	--
Nobody	1	327	25.0	1	26	0.0	--	--	--
Nobody	1	328	25.0	1	27	0.0	--	--	--
Nobody	1	329	25.0	1	28	0.0	--	--	--
Nobody	1	330	25.0	1	29	0.0	--	--	--
Nobody	1	331	25.0	1	30	0.0	--	--	--
Nobody	1	332	25.0	1	31	0.0	--	--	--
Nobody	1	333	25.0	1	32	0.0	--	--	--
Nobody	1	334	25.0	1	33	0.0	--	--	--
Nobody	1	335	25.0	1	34	0.0	--	--	--
Nobody	1	336	25.0	1	35	0.0	--	--	--
Nobody	1	337	25.0	1	36	0.0	--	--	--
Nobody	1	338	25.0	1	37	0.0	--	--	--
Nobody	1	339	25.0	1	38	0.0	--	--	--
Nobody	1	340	25.0	1	39	0.0	--	--	--
Nobody	1	341	25.0	1	40	0.0	--	--	--
Nobody	1	342	25.0	1	41	0.0	--	--	--
Nobody	1	343	25.0	1	42	0.0	--	--	--
Nobody	1	344	25.0	1	43	0.0	--	--	--
Nobody	1	345	25.0	1	44	0.0	--	--	--
Nobody	1	346	25.0	1	45	0.0	--	--	--
